seqnum,sex,province,age,DEP_TOTAL
1,ชาย,กรุงเทพมหานคร,168,1043.83
2,หญิง,สมุทรสาคร,37,13159.08
3,หญิง,บุรีรัมย์,57,31476.22
4,หญิง,บุรีรัมย์,73,90.38
5,หญิง,บุรีรัมย์,50,14185.05
6,หญิง,บุรีรัมย์,72,12999.6
7,ชาย,บุรีรัมย์,51,1275.61
8,ชาย,บุรีรัมย์,55,39.93
9,หญิง,บุรีรัมย์,44,88407.31
10,ชาย,บุรีรัมย์,56,313.99
11,ชาย,นครปฐม,60,224.65
12,หญิง,บุรีรัมย์,64,3124.21
13,หญิง,บุรีรัมย์,63,36032.94
14,หญิง,บุรีรัมย์,57,236.36
15,หญิง,บุรีรัมย์,56,204.61
16,หญิง,บุรีรัมย์,61,1680.43
17,ชาย,บุรีรัมย์,63,2769.72
18,ชาย,บุรีรัมย์,75,857.48
19,หญิง,บุรีรัมย์,59,20926.27
20,หญิง,บุรีรัมย์,61,124.04
21,หญิง,บุรีรัมย์,57,5107.07
22,ชาย,บุรีรัมย์,73,138.4
23,ชาย,บุรีรัมย์,51,21755.11
24,หญิง,บุรีรัมย์,47,3227.37
25,หญิง,บุรีรัมย์,70,8956.06
26,ชาย,บุรีรัมย์,62,7950.45
27,ชาย,บุรีรัมย์,62,4662.72
28,ชาย,จันทบุรี,63,2719.64
29,ชาย,บุรีรัมย์,56,82.31
30,ชาย,บุรีรัมย์,71,44.74
31,หญิง,บุรีรัมย์,60,1031133.04
32,ชาย,บุรีรัมย์,54,110.39
33,ชาย,บุรีรัมย์,63,0
34,ชาย,บุรีรัมย์,63,3969.09
35,ชาย,บุรีรัมย์,50,20566.53
36,หญิง,บุรีรัมย์,50,10003.11
37,ชาย,บุรีรัมย์,75,55.45
38,หญิง,บุรีรัมย์,54,92.32
39,ชาย,บุรีรัมย์,57,136.36
40,ชาย,บุรีรัมย์,55,0
41,หญิง,บุรีรัมย์,51,36849.76
42,หญิง,บุรีรัมย์,49,2014.81
43,หญิง,บุรีรัมย์,64,0
44,หญิง,บุรีรัมย์,46,3511.54
45,ชาย,บุรีรัมย์,53,20659.57
46,ชาย,บุรีรัมย์,59,10037.68
47,ชาย,บุรีรัมย์,50,2101.09
48,ชาย,บุรีรัมย์,48,7.15
49,หญิง,บุรีรัมย์,56,83.83
50,ชาย,บุรีรัมย์,58,717.97
51,ชาย,บุรีรัมย์,52,33642.89
52,หญิง,บุรีรัมย์,63,9.81
53,ชาย,บุรีรัมย์,86,183314.11
54,ชาย,ยโสธร,66,873.22
55,หญิง,บุรีรัมย์,53,10875.78
56,หญิง,บุรีรัมย์,49,101905.51
57,ชาย,บุรีรัมย์,76,36041.77
58,หญิง,บุรีรัมย์,77,1501.55
59,ชาย,บุรีรัมย์,60,22462.27
60,ชาย,กาฬสินธุ์,84,536.9
61,ชาย,บุรีรัมย์,68,22995.92
62,หญิง,บุรีรัมย์,65,0
63,หญิง,บุรีรัมย์,62,5556.4
64,หญิง,บุรีรัมย์,78,38481.24
65,หญิง,บุรีรัมย์,51,0
66,ชาย,บุรีรัมย์,48,12210.04
67,ชาย,กาฬสินธุ์,86,0
68,หญิง,บุรีรัมย์,48,5223.67
69,หญิง,บุรีรัมย์,57,3465.38
70,หญิง,บุรีรัมย์,48,3680.46
71,หญิง,บุรีรัมย์,77,170207.42
72,หญิง,บุรีรัมย์,65,11618.63
73,หญิง,บุรีรัมย์,61,153720.71
74,หญิง,บุรีรัมย์,63,40315.21
75,หญิง,บุรีรัมย์,58,1229
76,ชาย,บุรีรัมย์,53,11069.45
77,หญิง,บุรีรัมย์,51,5568.88
78,ชาย,บุรีรัมย์,67,5573.38
79,หญิง,บุรีรัมย์,72,1076.21
80,ชาย,บุรีรัมย์,70,22062.53
81,ชาย,บุรีรัมย์,55,44841.76
82,ชาย,บุรีรัมย์,49,6410.9
83,หญิง,บุรีรัมย์,64,6675.7
84,ชาย,บุรีรัมย์,68,10161.15
85,ชาย,กาฬสินธุ์,86,717.65
86,หญิง,บุรีรัมย์,56,1545.76
87,หญิง,บุรีรัมย์,73,104.79
88,ชาย,บุรีรัมย์,49,201.48
89,ชาย,บุรีรัมย์,63,286.62
90,หญิง,บุรีรัมย์,79,686.75
91,หญิง,บุรีรัมย์,74,24.46
92,หญิง,บุรีรัมย์,69,7.72
93,หญิง,บุรีรัมย์,78,11520.23
94,หญิง,บุรีรัมย์,59,24766.95
95,หญิง,บุรีรัมย์,74,70.08
96,หญิง,บุรีรัมย์,49,382402.61
97,หญิง,บุรีรัมย์,71,5161.24
98,ชาย,บุรีรัมย์,50,0
99,หญิง,บุรีรัมย์,78,503.22
100,ชาย,บุรีรัมย์,84,2273.51
101,ชาย,บุรีรัมย์,55,712.22
102,หญิง,บุรีรัมย์,41,39898.38
103,ชาย,บุรีรัมย์,61,3019.92
104,ชาย,บุรีรัมย์,77,147.99
105,หญิง,บุรีรัมย์,40,668.68
106,ชาย,บุรีรัมย์,49,65.68
107,ชาย,บุรีรัมย์,73,182
108,หญิง,บุรีรัมย์,57,35698.07
109,หญิง,จันทบุรี,44,111.4
110,หญิง,บุรีรัมย์,60,57920.74
111,หญิง,บุรีรัมย์,78,3571.72
112,หญิง,บุรีรัมย์,56,5640.16
113,หญิง,บุรีรัมย์,75,2016.48
114,หญิง,บุรีรัมย์,66,138.83
115,หญิง,บุรีรัมย์,60,238.29
116,หญิง,บุรีรัมย์,80,0
117,หญิง,บุรีรัมย์,72,32.79
118,หญิง,บุรีรัมย์,50,42039.77
119,ชาย,บุรีรัมย์,63,3119.39
120,ชาย,บุรีรัมย์,71,826.14
121,ชาย,บุรีรัมย์,59,8718.38
122,หญิง,บุรีรัมย์,51,61.49
123,หญิง,บุรีรัมย์,79,56031.09
124,ชาย,บุรีรัมย์,59,2118.41
125,ชาย,บุรีรัมย์,67,505.16
126,หญิง,บุรีรัมย์,50,50.39
127,ชาย,บุรีรัมย์,71,506.09
128,หญิง,บุรีรัมย์,66,352.52
129,หญิง,พระนครศรีอยุธยา,64,2164.23
130,หญิง,บุรีรัมย์,70,10264.7
131,ชาย,บุรีรัมย์,74,4739.85
132,หญิง,บุรีรัมย์,44,1969.72
133,หญิง,บุรีรัมย์,66,110744.45
134,หญิง,บุรีรัมย์,51,9083.41
135,หญิง,ฉะเชิงเทรา,64,139.45
136,หญิง,บุรีรัมย์,69,12166.22
137,ชาย,บุรีรัมย์,88,69819.64
138,หญิง,บุรีรัมย์,49,67329.58
139,ชาย,บุรีรัมย์,69,35149.39
140,ชาย,กาฬสินธุ์,84,5631.06
141,ชาย,บุรีรัมย์,63,27940.47
142,หญิง,บุรีรัมย์,58,13226.05
143,ชาย,บุรีรัมย์,86,5000.62
144,หญิง,บุรีรัมย์,77,4628.39
145,ชาย,บุรีรัมย์,84,1899.07
146,ชาย,บุรีรัมย์,54,10676.43
147,ชาย,บุรีรัมย์,74,1051.63
148,ชาย,บุรีรัมย์,41,0
149,ชาย,บุรีรัมย์,69,42.54
150,ชาย,บุรีรัมย์,69,8532.08
151,หญิง,บุรีรัมย์,58,2044.93
152,หญิง,บุรีรัมย์,76,25.16
153,หญิง,บุรีรัมย์,55,223.06
154,หญิง,บุรีรัมย์,59,2008.48
155,ชาย,บุรีรัมย์,78,20697.59
156,ชาย,อุดรธานี,69,1509.68
157,ชาย,บุรีรัมย์,48,0
158,หญิง,บุรีรัมย์,55,19224.21
159,ชาย,บุรีรัมย์,57,53727.87
160,หญิง,บุรีรัมย์,56,79.72
161,หญิง,บุรีรัมย์,83,43.11
162,ชาย,บุรีรัมย์,81,15.77
163,ชาย,บุรีรัมย์,89,14080.33
164,ชาย,บุรีรัมย์,79,11124.81
165,หญิง,บุรีรัมย์,66,11163.38
166,หญิง,บุรีรัมย์,74,27847.9
167,หญิง,บุรีรัมย์,59,421.68
168,หญิง,บุรีรัมย์,51,2373.52
169,หญิง,บุรีรัมย์,69,841.25
170,หญิง,บุรีรัมย์,54,28446.82
171,หญิง,บุรีรัมย์,78,1269.64
172,หญิง,บุรีรัมย์,77,122.16
173,หญิง,บุรีรัมย์,58,2407.77
174,หญิง,บุรีรัมย์,52,233361.7
175,หญิง,บุรีรัมย์,60,3937.04
176,หญิง,บุรีรัมย์,65,1774.17
177,ชาย,บุรีรัมย์,73,3000
178,ชาย,บุรีรัมย์,67,70.81
179,หญิง,บุรีรัมย์,56,0
180,ชาย,บุรีรัมย์,69,72.41
181,ชาย,บุรีรัมย์,69,598.51
182,ชาย,บุรีรัมย์,60,20035.5
183,หญิง,พระนครศรีอยุธยา,73,752.36
184,ชาย,บุรีรัมย์,52,22126.95
185,หญิง,บุรีรัมย์,52,671.25
186,ชาย,บุรีรัมย์,60,3001.1
187,หญิง,บุรีรัมย์,82,11625.92
188,หญิง,บุรีรัมย์,78,758.21
189,ชาย,บุรีรัมย์,50,532.74
190,หญิง,บุรีรัมย์,67,88.06
191,หญิง,บุรีรัมย์,68,33821.66
192,ชาย,บุรีรัมย์,63,21553.42
193,หญิง,บุรีรัมย์,55,130126.61
194,หญิง,บุรีรัมย์,79,98875.66
195,หญิง,นครพนม,53,72151.04
196,หญิง,บุรีรัมย์,50,28.31
197,ชาย,บุรีรัมย์,59,50423.05
198,หญิง,บุรีรัมย์,58,1859.39
199,หญิง,บุรีรัมย์,44,41.19
200,ชาย,บุรีรัมย์,66,28040.3
201,ชาย,บุรีรัมย์,53,1148466.04
202,ชาย,บุรีรัมย์,59,13816.88
203,หญิง,บุรีรัมย์,66,11083.61
204,ชาย,บุรีรัมย์,56,53902.46
205,หญิง,บุรีรัมย์,69,461.7
206,ชาย,บุรีรัมย์,76,4596.26
207,ชาย,บุรีรัมย์,51,121.16
208,หญิง,ฉะเชิงเทรา,50,392893.53
209,หญิง,บุรีรัมย์,55,14366.52
210,ชาย,บุรีรัมย์,53,20600.86
211,หญิง,บุรีรัมย์,56,34574.09
212,ชาย,บุรีรัมย์,48,2551.84
213,ชาย,บุรีรัมย์,67,3588.73
214,หญิง,บุรีรัมย์,66,33582.77
215,หญิง,บุรีรัมย์,47,3389.38
216,หญิง,บุรีรัมย์,49,200.69
217,ชาย,บุรีรัมย์,60,13734.3
218,ชาย,บุรีรัมย์,60,9704.94
219,ชาย,บุรีรัมย์,65,1684.95
220,ชาย,บุรีรัมย์,64,7964.93
221,หญิง,บุรีรัมย์,56,2504.27
222,ชาย,บุรีรัมย์,63,3502.84
223,หญิง,บุรีรัมย์,56,5316.51
224,ชาย,บุรีรัมย์,55,3066.94
225,ชาย,บุรีรัมย์,58,2027.33
226,ชาย,บุรีรัมย์,60,9057.09
227,ชาย,บุรีรัมย์,72,9230.05
228,ชาย,บุรีรัมย์,67,316.55
229,ชาย,บุรีรัมย์,57,296.36
230,ชาย,บุรีรัมย์,58,20398.86
231,หญิง,บุรีรัมย์,52,1001568.38
232,ชาย,บุรีรัมย์,72,1244.98
233,ชาย,บุรีรัมย์,69,14802.51
234,หญิง,บุรีรัมย์,61,5715.36
235,หญิง,บุรีรัมย์,75,7970.66
236,ชาย,กาฬสินธุ์,168,0
237,ชาย,บุรีรัมย์,50,193538.46
238,ชาย,บุรีรัมย์,77,82258.34
239,หญิง,บุรีรัมย์,54,118324.4
240,หญิง,บุรีรัมย์,63,4228.08
241,หญิง,บุรีรัมย์,80,5936.68
242,หญิง,บุรีรัมย์,69,312.91
243,หญิง,บุรีรัมย์,48,32382.29
244,ชาย,บุรีรัมย์,51,12253.38
245,ชาย,กาฬสินธุ์,87,1292.87
246,หญิง,บุรีรัมย์,51,15030.79
247,หญิง,บุรีรัมย์,62,1986.11
248,หญิง,บุรีรัมย์,51,22835.89
249,ชาย,บุรีรัมย์,57,27696.35
250,หญิง,บุรีรัมย์,56,118122.7
251,ชาย,บุรีรัมย์,47,7954.91
252,ชาย,กรุงเทพมหานคร,52,0
253,หญิง,บุรีรัมย์,73,734.85
254,ชาย,บุรีรัมย์,71,3184.48
255,ชาย,บุรีรัมย์,73,132.89
256,หญิง,บุรีรัมย์,79,1472.09
257,หญิง,บุรีรัมย์,54,2268.66
258,ชาย,บุรีรัมย์,66,5816.04
259,หญิง,บุรีรัมย์,50,19659.7
260,ชาย,บุรีรัมย์,45,5713.13
261,หญิง,บุรีรัมย์,58,11060.56
262,ชาย,บุรีรัมย์,54,2638.67
263,ชาย,บุรีรัมย์,57,13797.63
264,หญิง,บุรีรัมย์,65,273.23
265,หญิง,บุรีรัมย์,65,1171.58
266,ชาย,กาฬสินธุ์,85,11197.58
267,ชาย,บุรีรัมย์,55,27871.74
268,ชาย,บุรีรัมย์,60,61439.55
269,หญิง,บุรีรัมย์,62,42976.89
270,ชาย,บุรีรัมย์,75,1301.61
271,หญิง,บุรีรัมย์,63,316.47
272,หญิง,บุรีรัมย์,53,4924171.65
273,หญิง,บุรีรัมย์,57,9602
274,ชาย,บุรีรัมย์,47,4941.43
275,หญิง,บุรีรัมย์,57,12171.59
276,ชาย,บุรีรัมย์,49,4387.45
277,ชาย,บุรีรัมย์,54,4971.91
278,หญิง,บุรีรัมย์,65,67.46
279,ชาย,นครราชสีมา,77,0
280,ชาย,บุรีรัมย์,60,3572.58
281,หญิง,บุรีรัมย์,55,4092.43
282,หญิง,บุรีรัมย์,68,75.18
283,ชาย,บุรีรัมย์,57,10820.5
284,ชาย,กาฬสินธุ์,79,7782.78
285,ชาย,บุรีรัมย์,51,16652.59
286,ชาย,บุรีรัมย์,64,26706.37
287,หญิง,บุรีรัมย์,43,0
288,หญิง,บุรีรัมย์,49,1757.07
289,หญิง,บุรีรัมย์,52,34769.24
290,ชาย,บุรีรัมย์,63,59.54
291,ชาย,บุรีรัมย์,59,2047.39
292,ชาย,บุรีรัมย์,61,12867.07
293,หญิง,บุรีรัมย์,66,239.74
294,หญิง,บุรีรัมย์,62,238355.9
295,ชาย,บุรีรัมย์,48,28014.64
296,ชาย,บุรีรัมย์,45,57.5
297,หญิง,บุรีรัมย์,58,47559.89
298,หญิง,บุรีรัมย์,65,5662.22
299,หญิง,บุรีรัมย์,51,13719.78
300,หญิง,เพชรบูรณ์,59,785.45
301,หญิง,บุรีรัมย์,49,102.24
302,ชาย,บุรีรัมย์,80,347768.59
303,ชาย,บุรีรัมย์,39,0
304,ชาย,บุรีรัมย์,59,6181.74
305,หญิง,บุรีรัมย์,53,32893.71
306,ชาย,บุรีรัมย์,55,3220.48
307,หญิง,บุรีรัมย์,71,9554.05
308,หญิง,บุรีรัมย์,61,578943.54
309,หญิง,บุรีรัมย์,52,26979.65
310,หญิง,บุรีรัมย์,55,879207.99
311,หญิง,บุรีรัมย์,63,848.38
312,หญิง,บุรีรัมย์,62,6283.12
313,หญิง,บุรีรัมย์,50,152438.83
314,หญิง,บุรีรัมย์,49,57062.63
315,ชาย,บุรีรัมย์,53,4474.77
316,หญิง,บุรีรัมย์,72,19330.37
317,ชาย,บุรีรัมย์,69,13383.98
318,หญิง,บุรีรัมย์,55,2593.36
319,หญิง,บุรีรัมย์,64,55810.59
320,ชาย,บุรีรัมย์,46,5077.6
321,ชาย,บุรีรัมย์,69,684.46
322,ชาย,บุรีรัมย์,48,2381.94
323,ชาย,บุรีรัมย์,41,2119.55
324,หญิง,กาฬสินธุ์,82,2121.15
325,หญิง,บุรีรัมย์,71,2105.01
326,หญิง,ระยอง,60,2011.19
327,ชาย,บุรีรัมย์,75,3941.19
328,ชาย,บุรีรัมย์,60,2036.72
329,ชาย,บุรีรัมย์,60,7164.53
330,ชาย,บุรีรัมย์,64,28576.04
331,หญิง,บุรีรัมย์,65,29342.14
332,หญิง,บุรีรัมย์,53,4751.87
333,ชาย,บุรีรัมย์,51,226.93
334,หญิง,บุรีรัมย์,61,10059.31
335,หญิง,บุรีรัมย์,54,74998.6
336,หญิง,สมุทรปราการ,53,2628.05
